start	end	spacer	repeat_unit
20254	20270	7	5
20297	20310	4	5
20625	20639	5	5
20771	20784	4	5
20784	20798	5	5
20916	20931	4	6
20955	20969	5	5
20974	20992	5	7
20982	20999	8	5
21703	21718	6	5
21867	21881	3	6
22233	22250	6	6
22256	22273	6	6
22286	22298	3	5
22324	22339	6	5
22444	22457	2	6
22570	22583	4	5
22730	22744	5	5
22767	22782	4	6
22790	22802	1	6
22864	22877	4	5
23144	23157	4	5
23243	23257	5	5
23310	23325	6	5
23377	23393	7	5
23446	23461	6	5
23470	23485	6	5
23528	23542	3	6
23587	23608	8	7
23610	23625	6	5
24150	24162	3	5
24163	24179	5	6
24382	24396	5	5
24394	24409	6	5
24461	24477	7	5
24661	24674	4	5
24666	24685	8	6
24694	24710	7	5
24769	24783	5	5
24802	24814	3	5
25020	25036	3	7
25141	25154	2	6
25299	25315	7	5
25570	25584	3	6
25594	25611	8	5
25666	25682	7	5
25714	25732	7	6
25719	25732	4	5
26396	26410	5	5
26404	26420	7	5
26600	26616	7	5
26979	26993	5	5
27093	27107	3	6
27168	27182	1	7
27179	27194	6	5
27252	27279	6	11
27325	27341	5	6
27451	27465	5	5
27459	27474	6	5
27464	27476	3	5
27505	27517	3	5
27748	27761	4	5
28281	28293	3	5
28391	28407	7	5
28752	28769	8	5
28787	28804	6	6
28962	28979	8	5
29029	29044	6	5
29167	29183	7	5
29189	29202	4	5
29198	29210	3	5
29236	29250	5	5
29311	29328	8	5
29409	29421	3	5
29936	29949	4	5
29960	29977	8	5
30015	30031	7	5
30045	30060	2	7
30262	30274	3	5
30624	30636	1	6
30701	30713	3	5
30865	30878	4	5
31155	31168	4	5
31204	31216	3	5
31321	31342	8	7
31516	31530	3	6
31528	31542	5	5
31666	31683	8	5
31820	31834	5	5
31935	31948	4	5
31989	32002	4	5
32025	32037	3	5
32114	32126	3	5
32297	32309	1	6
32601	32613	1	6
32610	32623	4	5
32996	33008	3	5
34003	34019	7	5
34009	34023	5	5
34442	34461	8	6
34512	34528	7	5
34627	34642	4	6
34857	34874	4	7
35004	35016	1	6
35557	35569	3	5
35648	35665	8	5
36149	36163	5	5
36187	36206	8	6
36246	36262	5	6
36317	36332	6	5
36802	36816	5	5
36885	36900	4	6
36895	36909	5	5
37041	37054	4	5
37191	37204	2	6
37302	37316	5	5
37361	37376	6	5
37812	37826	5	5
37989	38005	7	5
38110	38122	3	5
38554	38569	6	5
38578	38592	5	5
38813	38827	5	5
39022	39034	1	6
39203	39219	7	5
39210	39223	4	5
39282	39303	8	7
39348	39364	7	5
39525	39539	5	5
39939	39952	2	6
40085	40100	6	5
40659	40675	7	5
41062	41074	1	6
41619	41636	8	5
41704	41721	6	6
41999	42012	4	5
41998	42016	7	6
42071	42086	4	6
42121	42134	4	5
42128	42140	1	6
42447	42460	4	5
42608	42621	4	5
42783	42802	6	7
43077	43093	7	5
43122	43141	8	6
43210	43227	6	6
43367	43380	4	5
43393	43408	4	6
43966	43983	6	6
44156	44172	7	5
44427	44440	4	5
44657	44674	8	5
45174	45187	4	5
45183	45200	8	5
45825	45839	5	5
46035	46049	5	5
46278	46292	5	5
46507	46523	7	5
46687	46704	8	5
46745	46758	4	5
46791	46807	7	5
47166	47178	1	6
47207	47224	6	6
47277	47293	7	5
47320	47335	6	5
47371	47384	0	7
47398	47413	6	5
47468	47489	8	7
47826	47841	6	5
47993	48009	5	6
48400	48417	8	5
48900	48914	5	5
49643	49658	6	5
49864	49885	6	8
49945	49958	4	5
49976	49992	7	5
50092	50104	3	5
50334	50347	4	5
50336	50350	5	5
50687	50704	8	5
50906	50921	6	5
50908	50923	6	5
51549	51561	1	6
51637	51658	8	7
51900	51916	3	7
51927	51939	1	6
52225	52243	7	6
52266	52278	3	5
52352	52368	5	6
52785	52801	7	5
52831	52845	5	5
52865	52881	7	5
52897	52912	6	5
53104	53119	6	5
53152	53164	3	5
53206	53218	3	5
53359	53373	5	5
53368	53387	4	8
53591	53608	8	5
54236	54248	1	6
54286	54301	4	6
54392	54408	7	5
54468	54484	3	7
54598	54615	8	5
54644	54660	7	5
54788	54805	8	5
55262	55279	8	5
55422	55438	7	5
56057	56073	7	5
56224	56239	4	6
56774	56787	2	6
56968	56985	8	5
57252	57265	4	5
57485	57499	5	5
57490	57503	4	5
57534	57546	3	5
57759	57772	2	6
57955	57972	6	6
58011	58027	7	5
58167	58183	7	5
58364	58384	5	8
58443	58457	3	6
58567	58580	4	5
58607	58623	7	5
58818	58830	3	5
58859	58875	7	5
58862	58874	1	6
58914	58927	4	5
59110	59122	3	5
59155	59167	1	6
59280	59319	6	17
59382	59394	3	5
59589	59602	4	5
59616	59637	4	9
59962	59976	3	6
60029	60045	7	5
60268	60287	8	6
60273	60285	1	6
60287	60301	3	6
60407	60419	3	5
60460	60473	4	5
60550	60565	6	5
60569	60586	6	6
60588	60603	6	5
60659	60671	3	5
60698	60713	6	5
60982	60996	5	5
61261	61278	8	5
61274	61291	8	5
61562	61578	5	6
61579	61596	6	6
61815	61831	7	5
61885	61900	6	5
62182	62197	6	5
62202	62217	4	6
62476	62493	8	5
62713	62727	5	5
62747	62759	1	6
62769	62788	6	7
62791	62805	5	5
63064	63080	5	6
63181	63197	7	5
63231	63243	3	5
63483	63496	4	5
63691	63709	7	6
63722	63734	1	6
63758	63775	8	5
63785	63799	5	5
63818	63834	7	5
64255	64272	8	5
64558	64572	5	5
64577	64590	2	6
64593	64608	6	5
64631	64645	5	5
64983	65000	8	5
64984	65000	7	5
65547	65561	5	5
65663	65675	3	5
65685	65697	1	6
65710	65725	4	6
65732	65745	4	5
65798	65824	7	10
65854	65868	5	5
65906	65920	5	5
65908	65921	4	5
66017	66031	5	5
66388	66404	7	5
66391	66407	7	5
66454	66470	7	5
66620	66633	4	5
66705	66718	4	5
66790	66803	4	5
66910	66922	1	6
66965	66981	7	5
66989	67003	5	5
67043	67060	6	6
67090	67103	4	5
67338	67352	5	5
67375	67390	6	5
68092	68107	4	6
68472	68485	4	5
68698	68711	4	5
69288	69302	5	5
69393	69406	2	6
69682	69696	5	5
69700	69714	5	5
69810	69824	5	5
69866	69878	1	6
69869	69884	6	5
70143	70157	1	7
70406	70423	8	5
70481	70496	6	5
70881	70898	8	5
70898	70913	4	6
70901	70914	4	5
70906	70920	5	5
71490	71504	5	5
71776	71791	6	5
71821	71835	5	5
71852	71865	4	5
71887	71901	5	5
72145	72159	5	5
72248	72261	4	5
72331	72348	8	5
72418	72435	8	5
72489	72506	8	5
72679	72691	3	5
72760	72772	3	5
72807	72820	4	5
72991	73004	4	5
73008	73025	8	5
73444	73458	5	5
73455	73468	4	5
73595	73611	7	5
73928	73945	8	5
73942	73955	4	5
74034	74046	3	5
74145	74160	6	5
74157	74172	6	5
74384	74398	5	5
74451	74464	4	5
74452	74466	3	6
74487	74506	8	6
74548	74564	7	5
74715	74730	6	5
74801	74813	3	5
74880	74896	7	5
75220	75232	3	5
75440	75457	8	5
75511	75527	7	5
75579	75592	0	7
75598	75610	3	5
75702	75718	5	6
75747	75765	7	6
75788	75805	8	5
75881	75898	6	6
75976	75989	4	5
76171	76187	7	5
76355	76368	4	5
76715	76731	7	5
76943	76955	3	5
77012	77026	3	6
77026	77038	3	5
77038	77051	2	6
77195	77212	8	5
77234	77252	7	6
77565	77585	7	7
77748	77764	5	6
77921	77935	5	5
78364	78378	5	5
78710	78728	7	6
78772	78790	5	7
78821	78840	2	9
79012	79031	8	6
79187	79200	2	6
79296	79310	5	5
79511	79525	5	5
79514	79530	7	5
79546	79563	8	5
79548	79564	7	5
79678	79690	3	5
79770	79783	4	5
80099	80116	8	5
80159	80176	8	5
80383	80395	3	5
80700	80719	8	6
81456	81473	6	6
81854	81868	5	5
82098	82113	6	5
82561	82574	4	5
82666	82680	5	5
82681	82694	4	5
83359	83371	3	5
83574	83603	4	13
84043	84061	7	6
84084	84103	6	7
84147	84161	5	5
84148	84166	7	6
84214	84230	7	5
84279	84295	7	5
84671	84687	5	6
84927	84941	3	6
84974	84986	1	6
85214	85229	6	5
85267	85280	4	5
85330	85345	2	7
85373	85385	3	5
85404	85421	8	5
85474	85494	7	7
85587	85603	3	7
85664	85678	5	5
85742	85757	6	5
85873	85889	7	5
85900	85915	6	5
86033	86046	4	5
86082	86097	6	5
86365	86380	6	5
86581	86598	8	5
86630	86642	3	5
87125	87139	5	5
87185	87198	4	5
87669	87683	3	6
87750	87766	7	5
87763	87777	5	5
87769	87784	6	5
87845	87860	4	6
87873	87895	7	8
87938	87955	8	5
87963	87977	5	5
88345	88357	3	5
88350	88364	5	5
88485	88497	3	5
88495	88511	7	5
88757	88775	7	6
88977	88994	6	6
89272	89287	6	5
89316	89330	5	5
89383	89400	8	5
89395	89412	8	5
89732	89747	4	6
89904	89916	3	5
89928	89940	3	5
90003	90019	7	5
90360	90379	6	7
90567	90582	4	6
90813	90829	5	6
90845	90861	7	5
91005	91019	5	5
91343	91356	2	6
91461	91479	5	7
91710	91730	7	7
91724	91741	8	5
91834	91850	5	6
92067	92080	4	5
92095	92114	8	6
92169	92182	4	5
92323	92339	7	5
92575	92595	7	7
92674	92690	3	7
92936	92949	4	5
92957	92975	3	8
93034	93046	1	6
93038	93056	7	6
93204	93218	5	5
93249	93262	4	5
93393	93407	5	5
93543	93562	8	6
93549	93565	7	5
93557	93570	4	5
93593	93605	3	5
93805	93817	3	5
94092	94104	3	5
94581	94594	4	5
94698	94710	3	5
95063	95078	2	7
95548	95560	3	5
95610	95630	7	7
95669	95681	1	6
95846	95862	7	5
96083	96096	2	6
96186	96201	6	5
96360	96377	8	5
96659	96676	8	5
96747	96763	7	5
96898	96910	3	5
96972	96988	7	5
97082	97097	4	6
97168	97184	7	5
97183	97199	7	5
97394	97410	7	5
97574	97594	7	7
97792	97804	3	5
97863	97880	8	5
98335	98349	5	5
98343	98359	5	6
98365	98379	5	5
98442	98460	5	7
98605	98617	3	5
98757	98773	5	6
98857	98875	7	6
98967	98979	3	5
98979	98991	3	5
99060	99075	6	5
99300	99317	6	6
99792	99806	5	5
99889	99904	4	6
100147	100163	7	5
100152	100167	4	6
100248	100261	4	5
100523	100538	6	5
100591	100605	5	5
100649	100665	5	6
100663	100681	7	6
100693	100705	3	5
100718	100734	5	6
100839	100855	7	5
100912	100927	6	5
101123	101135	3	5
101135	101153	7	6
101160	101175	6	5
101299	101317	7	6
101327	101344	8	5
101393	101407	5	5
101654	101671	8	5
102000	102012	3	5
102026	102040	5	5
102060	102076	7	5
102117	102132	4	6
102133	102150	8	5
102138	102154	7	5
102625	102640	0	8
103047	103062	6	5
103064	103080	7	5
103079	103094	4	6
103188	103204	5	6
103190	103205	4	6
103353	103368	4	6
103424	103440	7	5
103503	103521	5	7
103515	103530	6	5
103575	103589	5	5
103606	103623	8	5
104668	104682	5	5
104721	104735	5	5
104779	104792	4	5
104841	104856	6	5
105039	105054	2	7
105100	105117	8	5
105447	105463	7	5
105534	105546	1	6
105763	105778	6	5
106771	106787	7	5
106822	106840	1	9
107145	107157	3	5
107202	107216	5	5
107259	107273	3	6
107327	107343	7	5
107380	107395	6	5
107474	107492	7	6
107480	107497	4	7
107557	107575	5	7
107868	107883	0	8
107936	107954	7	6
107945	107960	4	6
108069	108083	5	5
108116	108130	5	5
108254	108266	3	5
108331	108345	5	5
108995	109008	2	6
109013	109026	4	5
109045	109060	6	5
109187	109199	3	5
109451	109467	7	5
109625	109638	4	5
109929	109941	3	5
110650	110663	4	5
110764	110783	8	6
110870	110885	4	6
111002	111027	4	11
111111	111125	5	5
111202	111216	5	5
111235	111253	7	6
111256	111269	4	5
111486	111499	4	5
111602	111616	5	5
111973	111992	8	6
112031	112049	7	6
112129	112144	4	6
112449	112466	8	5
112669	112682	4	5
113162	113181	8	6
113189	113205	7	5
113306	113320	1	7
113731	113748	8	5
113939	113953	5	5
114032	114047	6	5
114100	114113	4	5
114160	114175	6	5
114494	114523	6	12
114561	114577	7	5
114707	114724	8	5
115386	115406	7	7
115462	115477	6	5
115778	115793	6	5
115957	115971	5	5
115985	116000	6	5
116053	116073	7	7
116117	116132	6	5
116727	116742	6	5
116841	116853	3	5
117037	117049	3	5
117186	117203	8	5
117489	117502	4	5
117651	117666	6	5
118195	118212	6	6
118352	118369	6	6
118815	118829	5	5
118842	118855	4	5
118847	118866	8	6
119094	119107	2	6
119209	119226	4	7
119664	119680	7	5
119841	119854	2	6
119966	119979	4	5
120144	120168	5	10
120246	120262	7	5
120470	120485	4	6
120577	120593	7	5
120617	120633	5	6
120920	120936	7	5
120939	120953	5	5
121052	121068	7	5
121401	121416	6	5
121465	121486	6	8
121584	121597	4	5
121640	121653	4	5
121800	121814	5	5
121809	121825	1	8
121871	121886	6	5
122044	122060	3	7
122207	122222	6	5
122290	122302	3	5
122337	122349	3	5
122375	122389	5	5
122431	122446	6	5
122487	122502	6	5
122646	122661	6	5
122682	122695	4	5
122859	122875	5	6
123224	123236	3	5
123251	123267	7	5
123424	123440	7	5
123509	123526	4	7
123623	123638	6	5
123679	123693	5	5
123740	123753	4	5
124337	124351	1	7
124513	124529	7	5
124548	124560	3	5
124556	124573	8	5
124806	124823	8	5
124859	124871	3	5
124895	124912	8	5
125021	125035	5	5
125114	125126	1	6
125859	125874	6	5
125929	125948	4	8
125986	126002	7	5
126247	126263	7	5
126537	126549	1	6
126540	126552	3	5
126558	126572	5	5
126613	126629	7	5
126616	126629	4	5
126641	126656	4	6
126918	126932	5	5
127143	127157	5	5
127147	127161	3	6
127361	127373	1	6
127595	127614	4	8
127686	127703	0	9
127740	127763	8	8
127811	127824	4	5
127838	127854	7	5
128026	128043	6	6
128106	128121	6	5
128137	128150	4	5
128432	128451	8	6
128685	128699	5	5
129127	129142	6	5
129249	129263	5	5
129345	129363	3	8
129366	129394	7	11
129482	129499	4	7
129543	129560	6	6
129734	129753	8	6
129831	129848	8	5
130108	130123	4	6
130192	130205	4	5
130282	130300	5	7
130302	130316	1	7
130304	130317	4	5
130310	130326	7	5
130310	130329	4	8
130310	130332	7	8
130384	130400	7	5
130712	130729	8	5
131118	131135	6	6
131378	131390	1	6
131635	131652	8	5
131938	131950	3	5
131946	131963	8	5
131998	132014	5	6
132318	132330	3	5
132738	132750	3	5
133621	133634	2	6
133746	133761	6	5
133966	133978	3	5
134158	134181	8	8
134218	134231	2	6
134220	134234	5	5
134413	134427	5	5
134756	134783	6	11
134933	134949	7	5
135002	135019	8	5
135066	135081	6	5
135527	135544	8	5
135696	135713	8	5
135868	135883	6	5
135973	135987	3	6
136265	136277	3	5
136357	136374	8	5
136522	136545	8	8
137011	137029	5	7
137343	137359	7	5
137466	137482	7	5
137720	137734	5	5
137752	137767	6	5
138023	138038	6	5
138103	138116	4	5
138257	138269	1	6
138571	138585	5	5
138624	138643	8	6
138653	138674	4	9
138801	138816	4	6
139280	139293	2	6
139396	139411	6	5
139411	139428	8	5
139679	139693	5	5
139687	139700	2	6
139892	139908	7	5
139952	139965	2	6
140160	140173	4	5
140195	140207	3	5
140285	140297	3	5
140493	140506	2	6
140510	140525	6	5
140797	140812	6	5
140858	140873	6	5
140943	140960	8	5
140965	140982	8	5
141009	141021	3	5
141037	141053	7	5
141187	141200	4	5
141287	141302	4	6
141400	141417	6	6
141415	141434	8	6
141930	141944	5	5
141977	141999	5	9
142197	142211	5	5
142294	142306	3	5
142351	142366	6	5
142448	142464	7	5
142519	142533	5	5
142561	142579	7	6
142674	142691	8	5
142690	142707	8	5
143043	143057	5	5
143385	143400	6	5
143525	143542	2	8
143668	143685	8	5
143795	143808	4	5
144281	144298	8	5
144432	144449	8	5
144651	144667	5	6
144786	144803	8	5
144799	144819	7	7
145034	145055	8	7
145503	145520	6	6
145627	145642	4	6
146120	146134	5	5
146175	146188	4	5
146280	146302	5	9
146362	146382	7	7
146377	146393	5	6
146454	146466	3	5
146725	146743	3	8
146795	146813	7	6
146988	147002	5	5
147005	147019	5	5
147145	147158	2	6
147431	147445	5	5
147632	147647	6	5
147848	147866	5	7
147976	147988	3	5
148321	148337	7	5
148335	148349	3	6
148430	148445	6	5
148719	148731	3	5
148758	148770	3	5
148886	148901	6	5
148904	148920	7	5
148952	148964	3	5
149072	149089	8	5
149208	149220	3	5
149324	149338	5	5
149376	149392	7	5
149377	149394	8	5
149651	149667	7	5
149827	149844	8	5
149900	149914	5	5
149957	149973	5	6
150258	150270	3	5
150371	150384	4	5
150472	150484	3	5
150561	150578	8	5
150607	150621	5	5
150713	150728	4	6
150769	150783	5	5
150862	150877	6	5
150895	150918	8	8
150938	150952	3	6
151104	151116	3	5
151115	151128	4	5
151509	151532	4	10
151786	151802	7	5
151806	151823	8	5
152489	152504	6	5
152561	152573	3	5
152862	152877	6	5
153065	153081	5	6
153357	153369	3	5
153626	153639	2	6
153647	153664	8	5
153729	153741	3	5
153921	153942	8	7
154172	154184	3	5
154411	154429	7	6
154541	154563	7	8
154673	154689	7	5
154832	154845	4	5
154881	154893	3	5
154943	154959	5	6
154971	154990	6	7
154985	155003	7	6
154993	155010	6	6
155028	155042	5	5
155039	155051	3	5
155575	155591	7	5
155606	155620	5	5
155692	155709	8	5
155738	155754	7	5
156296	156311	4	6
156299	156312	4	5
156545	156557	3	5
156553	156569	7	5
156720	156735	6	5
156871	156889	7	6
156873	156888	4	6
156988	157002	5	5
157057	157074	6	6
157064	157088	3	11
157216	157228	1	6
157228	157250	3	10
157367	157383	7	5
157390	157405	6	5
157526	157542	7	5
157592	157605	4	5
157656	157675	8	6
157700	157717	8	5
157873	157889	5	6
158506	158523	8	5
158547	158562	6	5
158678	158697	8	6
158745	158757	3	5
159036	159052	7	5
159237	159250	4	5
159429	159445	7	5
159453	159468	6	5
159553	159568	6	5
159563	159580	6	6
159761	159774	2	6
159823	159840	6	6
159898	159915	8	5
160101	160121	5	8
160141	160158	8	5
160348	160363	6	5
160633	160649	7	5
161158	161171	4	5
161328	161341	4	5
161442	161456	5	5
161573	161588	6	5
161613	161630	8	5
161737	161751	3	6
161845	161866	6	8
161848	161869	8	7
162236	162252	7	5
162269	162286	8	5
162285	162300	6	5
162535	162554	8	6
162596	162609	2	6
162705	162718	4	5
162852	162869	4	7
162990	163007	8	5
163197	163213	7	5
163247	163267	5	8
163410	163426	3	7
163928	163941	4	5
163937	163952	6	5
164093	164106	4	5
164116	164132	7	5
164257	164273	5	6
164274	164289	6	5
164391	164408	6	6
164480	164494	5	5
164517	164532	6	5
164547	164567	3	9
164610	164631	2	10
164616	164631	6	5
164663	164686	6	9
164939	164956	8	5
165031	165047	3	7
165294	165309	6	5
165320	165336	7	5
165332	165344	3	5
165507	165524	8	5
165865	165877	3	5
166035	166048	0	7
166074	166090	7	5
166206	166218	3	5
166440	166452	3	5
166565	166582	6	6
166579	166595	7	5
166702	166718	5	6
166805	166819	5	5
166880	166892	3	5
166967	166980	4	5
167090	167108	5	7
167194	167210	5	6
167280	167306	5	11
167519	167536	6	6
167909	167927	3	8
167995	168012	6	6
168063	168077	5	5
168257	168270	4	5
168364	168377	4	5
168407	168421	5	5
168588	168603	6	5
168630	168649	8	6
168856	168871	6	5
169677	169691	5	5
169701	169714	4	5
169739	169758	2	9
169876	169892	5	6
170016	170028	3	5
170031	170048	8	5
170251	170266	6	5
170358	170376	7	6
170654	170668	5	5
170862	170876	5	5
170951	170965	5	5
171076	171089	4	5
171187	171201	5	5
171355	171367	3	5
171431	171446	6	5
171604	171618	5	5
171691	171703	3	5
171928	171940	1	6
172165	172178	4	5
172364	172381	8	5
172489	172510	8	7
172594	172611	8	5
172634	172651	8	5
172850	172862	1	6
173024	173040	7	5
173277	173293	5	6
173513	173526	4	5
173532	173548	7	5
173739	173753	1	7
173801	173819	7	6
173864	173881	8	5
173877	173889	3	5
173913	173927	5	5
174055	174074	8	6
174162	174179	8	5
174374	174388	5	5
174469	174482	4	5
174557	174570	4	5
174660	174677	8	5
174756	174770	5	5
174927	174940	2	6
175089	175106	8	5
175138	175156	5	7
175206	175222	7	5
175281	175294	4	5
175740	175753	4	5
175933	175948	6	5
175945	175957	3	5
176090	176105	4	6
176368	176382	5	5
176533	176546	2	6
176549	176562	4	5
176549	176565	7	5
176965	176991	3	12
177097	177112	6	5
177105	177122	8	5
177192	177206	5	5
177381	177394	4	5
177431	177445	5	5
177645	177659	5	5
177713	177728	6	5
177829	177841	3	5
177986	178000	5	5
177986	177999	2	6
178162	178178	7	5
178266	178279	4	5
178427	178445	5	7
178463	178478	6	5
178503	178519	7	5
178527	178546	8	6
178666	178681	6	5
178919	178935	5	6
179127	179139	3	5
179199	179214	6	5
179316	179330	3	6
179791	179807	5	6
179840	179853	4	5
179858	179875	8	5
179889	179904	6	5
180962	180978	7	5
181074	181086	1	6
181267	181283	3	7
181854	181868	5	5
181880	181894	3	6
182000	182017	6	6
182038	182052	3	6
182062	182078	5	6
182219	182234	6	5
182317	182344	8	10
182399	182415	5	6
182416	182428	1	6
182433	182452	8	6
182448	182465	8	5
182602	182615	4	5
182652	182673	8	7
183041	183054	4	5
183319	183331	3	5
183478	183494	7	5
183796	183813	4	7
183841	183857	7	5
183967	183981	5	5
184174	184188	5	5
184231	184247	7	5
184711	184726	6	5
185091	185111	5	8
185164	185177	4	5
185398	185414	7	5
185466	185480	5	5
185544	185565	8	7
185854	185871	8	5
186398	186415	8	5
186541	186554	4	5
186731	186744	2	6
186985	186998	4	5
186986	187001	6	5
187206	187219	4	5
187265	187282	8	5
188082	188098	7	5
188180	188196	7	5
188217	188230	0	7
188308	188322	5	5
188380	188396	7	5
188509	188522	4	5
188688	188707	4	8
188738	188751	4	5
188887	188903	7	5
189021	189035	5	5
189048	189063	6	5
189151	189164	4	5
189348	189361	4	5
189362	189374	1	6
189524	189538	3	6
189623	189639	1	8
189767	189780	4	5
189767	189782	6	5
189952	189965	4	5
190063	190078	6	5
190385	190402	8	5
190466	190484	7	6
190562	190576	5	5
190579	190593	3	6
190669	190682	4	5
190731	190746	6	5
190773	190795	7	8
190867	190884	8	5
191374	191386	3	5
191609	191625	7	5
191655	191672	8	5
191673	191689	5	6
191721	191738	4	7
191793	191811	7	6
191950	191965	6	5
192076	192089	4	5
192269	192286	8	5
192468	192483	6	5
192569	192590	8	7
192611	192627	7	5
192699	192712	4	5
192764	192778	5	5
192811	192827	7	5
192903	192922	6	7
192954	192966	3	5
193015	193028	4	5
193070	193084	5	5
193140	193156	7	5
193266	193282	7	5
193410	193428	3	8
193460	193473	4	5
194044	194065	8	7
194225	194242	8	5
194571	194585	5	5
194634	194646	3	5
194742	194756	5	5
194822	194839	6	6
195428	195442	5	5
195514	195527	4	5
195637	195650	4	5
195827	195843	7	5
195899	195917	7	6
195919	195933	3	6
196197	196209	3	5
196373	196390	8	5
196655	196669	5	5
196837	196853	7	5
196864	196880	7	5
197122	197137	6	5
197164	197180	5	6
197337	197350	4	5
197409	197426	8	5
197533	197551	7	6
197551	197565	5	5
197607	197622	6	5
197740	197754	5	5
197886	197901	6	5
197956	197973	4	7
197975	197988	0	7
198697	198711	3	6
198749	198762	2	6
198992	199005	4	5
199142	199156	3	6
199516	199529	0	7
199787	199800	4	5
199853	199868	6	5
199868	199880	3	5
199889	199905	7	5
199921	199933	3	5
200157	200171	5	5
200178	200195	8	5
200250	200267	6	6
200406	200426	7	7
200443	200458	4	6
200594	200610	7	5
200603	200615	3	5
200770	200783	4	5
200803	200819	7	5
200923	200937	5	5
201363	201379	5	6
201422	201441	8	6
201582	201598	7	5
201648	201664	7	5
201795	201810	4	6
201841	201857	5	6
201951	201970	8	6
202251	202272	6	8
202269	202284	4	6
202397	202409	1	6
202697	202710	4	5
202734	202749	6	5
202752	202769	6	6
202920	202932	3	5
203382	203403	4	9
203494	203507	4	5
203650	203669	8	6
203848	203863	4	6
204068	204082	5	5
204136	204148	3	5
204295	204310	6	5
204568	204581	4	5
204575	204589	1	7
204605	204619	5	5
204766	204781	6	5
204787	204805	7	6
204924	204939	6	5
204944	204963	8	6
204996	205010	5	5
205466	205478	3	5
205501	205516	6	5
205545	205560	6	5
205710	205729	8	6
205773	205789	7	5
206533	206548	6	5
206685	206701	5	6
206781	206793	3	5
207081	207098	8	5
207176	207188	3	5
207177	207193	7	5
207389	207401	3	5
207476	207493	4	7
207876	207892	5	6
207886	207900	5	5
207895	207912	6	6
207983	207995	3	5
208239	208252	0	7
208543	208561	1	9
208728	208745	8	5
208909	208926	4	7
208958	208976	7	6
209165	209179	3	6
209276	209290	5	5
209430	209442	3	5
209462	209475	4	5
209530	209542	3	5
209549	209561	3	5
209713	209725	3	5
209815	209831	7	5
210110	210124	5	5
210675	210691	5	6
210943	210960	8	5
210957	210970	4	5
211314	211329	6	5
211987	212001	5	5
212058	212074	7	5
212061	212076	4	6
212085	212102	8	5
212186	212203	8	5
212286	212306	7	7
212415	212432	8	5
212531	212546	4	6
212589	212606	6	6
212651	212670	8	6
212720	212736	5	6
213093	213110	6	6
213363	213375	3	5
213855	213872	6	6
213887	213899	3	5
213896	213912	7	5
213962	213975	4	5
214136	214149	4	5
214266	214283	8	5
214573	214586	4	5
214777	214790	4	5
214869	214886	8	5
215224	215241	8	5
215290	215303	4	5
215298	215311	4	5
215424	215440	7	5
215648	215663	6	5
216027	216040	4	5
216111	216124	4	5
216151	216167	7	5
216251	216273	7	8
216309	216323	5	5
216383	216402	8	6
