"TF-Condition-#","Start Position","End Position","MACE S/N","Closest gene","Operon"
"HupA-expo-23","612649","612696","1.22","fes","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009460&organism=ECK12&type=All#OPERON"" target=""_blank"">fes,ybdZ,fepE,entF</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009354&organism=ECK12&type=All#OPERON"" target=""_blank"">entD,fepA</a>"
"HupA-expo-24","695860","695886","1.15","ubiF",""
"HupA-expo-25","695933","695970","1.03","ubiF",""
"HupA-expo-26","720697","720727","1.37","ybfK","ybfK,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009548&organism=ECK12&type=All#OPERON"" target=""_blank"">potE,speF</a>"
"HupA-expo-27","729195","729244","1.48","ybfA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026734&organism=ECK12&type=All#OPERON"" target=""_blank"">rhsC,ybfB,ybfA</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009228&organism=ECK12&type=All#OPERON"" target=""_blank"">kdpC,kdpF,kdpA,kdpB</a>"
"HupA-expo-28","747432","747462","0.96","abrB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026739&organism=ECK12&type=All#OPERON"" target=""_blank"">abrB</a>"
"HupA-expo-29","754443","754474","1.08","gltA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009298&organism=ECK12&type=All#OPERON"" target=""_blank"">gltA</a>"
"HupA-expo-30","776898","776932","1.91","tolA",""
"HupA-expo-31","780990","781021","1.07","nadA",""
"HupA-expo-32","821013","821020","1.13","ybhM","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026754&organism=ECK12&type=All#OPERON"" target=""_blank"">ybhM</a>"
"HupA-expo-33","854340","854345","1.26","ybiR",""
"HupA-expo-34","960215","960222","1.19","ycaL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026792&organism=ECK12&type=All#OPERON"" target=""_blank"">ycaL</a>"
"HupA-expo-35","1050677","1050711","1.13","cspG",""
"HupA-expo-36","1080489","1080493","1.11","putP",""
"HupA-expo-37","1085312","1085337","1.27","phoH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009832&organism=ECK12&type=All#OPERON"" target=""_blank"">phoH</a>"
"HupA-expo-38","1161640","1161672","1.52","fhuE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026841&organism=ECK12&type=All#OPERON"" target=""_blank"">ycfL,nagZ,thiK,lpoB,hinT,ycfP</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120008978&organism=ECK12&type=All#OPERON"" target=""_blank"">fhuE</a>"
"HupA-expo-39","1166006","1166035","1.27","ndh","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009349&organism=ECK12&type=All#OPERON"" target=""_blank"">ndh</a>"
"HupA-expo-40","1396532","1396555","1.18","insH1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021245&organism=ECK12&type=All#OPERON"" target=""_blank"">insH1</a>"
"HupA-expo-41","1411922","1411952","1.47","ttcA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026928&organism=ECK12&type=All#OPERON"" target=""_blank"">ttcA</a>"
"HupA-expo-42","1411935","1411941","1.5","ttcA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026928&organism=ECK12&type=All#OPERON"" target=""_blank"">ttcA</a>"
"HupA-expo-43","1465591","1465625","1.39","ydbA_1","ydbA_1,ynbG"
"HupA-expo-44","1527378","1527416","1.05","rhsE",""
"HupA-expo-45","1545351","1545380","1.13","yddK_1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026982&organism=ECK12&type=All#OPERON"" target=""_blank"">yddK</a>"
"HupA-expo-46","1610713","1610727","1.83","uxaB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125134714&organism=ECK12&type=All#OPERON"" target=""_blank"">uxaB</a>"
"HupA-expo-47","1673613","1673622","1.25","mdtJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020476&organism=ECK12&type=All#OPERON"" target=""_blank"">tqsA</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027039&organism=ECK12&type=All#OPERON"" target=""_blank"">mdtI,mdtJ</a>"
"HupA-expo-48","1692750","1692782","1.29","uidC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009067&organism=ECK12&type=All#OPERON"" target=""_blank"">uidC</a>"
"HupA-expo-49","1755000","1755031","1.34","ydhZ","ydhZ"
"HupA-expo-50","1803980","1804011","1.16","arpB_2","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027075&organism=ECK12&type=All#OPERON"" target=""_blank"">arpB</a>"
"HupA-expo-51","1859071","1859105","1.22","ydjK","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027090&organism=ECK12&type=All#OPERON"" target=""_blank"">ydjH,ydjK,ydjG,ydjI,ydjJ</a>"
"HupA-expo-52","1946312","1946352","1","yebB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015362&organism=ECK12&type=All#OPERON"" target=""_blank"">yebB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009541&organism=ECK12&type=All#OPERON"" target=""_blank"">yobI,ruvB,ruvA</a>"
"HupA-expo-53","1946437","1946476","1.23","yebB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015362&organism=ECK12&type=All#OPERON"" target=""_blank"">yebB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009541&organism=ECK12&type=All#OPERON"" target=""_blank"">yobI,ruvB,ruvA</a>"
"HupA-expo-54","1986650","1986678","1.15","ftnB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120016700&organism=ECK12&type=All#OPERON"" target=""_blank"">ftnB</a>"
"HupA-expo-55","2033683","2033732","1.05","yedR","yedS_1,yedS_2,yedR,yedJ"
"HupA-expo-56","2033768","2033805","1.52","yedS_1","yedS_1,yedS_2,yedR,yedJ"
"HupA-expo-57","2042051","2042090","1","yodB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027162&organism=ECK12&type=All#OPERON"" target=""_blank"">yodB</a>"
"HupA-expo-58","2057066","2057085","1.24","yeeN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027167&organism=ECK12&type=All#OPERON"" target=""_blank"">yeeN</a>"
"HupA-expo-59","2090055","2090081","1.11","hisG","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009474&organism=ECK12&type=All#OPERON"" target=""_blank"">hisA,hisH,hisI,hisF,hisD,hisG,hisB,hisC</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027183&organism=ECK12&type=All#OPERON"" target=""_blank"">yefM,yoeB</a>"
"HupA-expo-60","2179192","2179216","1.85","yegT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027199&organism=ECK12&type=All#OPERON"" target=""_blank"">yegV,yegU,yegT</a>"
"HupA-expo-61","2204383","2204412","1.24","yehL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027213&organism=ECK12&type=All#OPERON"" target=""_blank"">yehQ,yehL,yehP,yehM</a>"
"HupA-expo-62","2246941","2246973","1.23","cirA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009208&organism=ECK12&type=All#OPERON"" target=""_blank"">cirA</a>"
"HupA-expo-63","2255481","2255498","2.13","yeiL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030133&organism=ECK12&type=All#OPERON"" target=""_blank"">yeiL</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120011120&organism=ECK12&type=All#OPERON"" target=""_blank"">rihB</a>"
"HupA-expo-64","2344070","2344094","1.55","yfaL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021153&organism=ECK12&type=All#OPERON"" target=""_blank"">yfaL</a>"
"HupA-expo-65","2370939","2370979","1.06","arnT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027258&organism=ECK12&type=All#OPERON"" target=""_blank"">arnE,arnT,arnF</a>"
"HupA-expo-66","2387393","2387416","1.11","yfbM","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027265&organism=ECK12&type=All#OPERON"" target=""_blank"">yfbM</a>"
"HupA-expo-67","2463692","2463715","1.06","yfdF",""
"HupA-expo-68","2466352","2466384","1.18","intS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027289&organism=ECK12&type=All#OPERON"" target=""_blank"">intS</a>"
"HupA-expo-69","2560435","2560448","1.47","yffL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027317&organism=ECK12&type=All#OPERON"" target=""_blank"">yffL</a>"
"HupA-expo-70","2563375","2563402","16.96","yffQ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027320&organism=ECK12&type=All#OPERON"" target=""_blank"">yffR,yffQ</a>"
"HupA-expo-71","2563426","2563475","7.01","yffQ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027320&organism=ECK12&type=All#OPERON"" target=""_blank"">yffR,yffQ</a>"
"HupA-expo-72","2564907","2564955","8.07","yffS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027321&organism=ECK12&type=All#OPERON"" target=""_blank"">yffS</a>"
"HupA-expo-73","2565121","2565165","2.15","yffS",""
"HupA-expo-74","2565289","2565336","14.69","yffS",""
"HupA-expo-75","2575652","2575659","1.38","eutS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027324&organism=ECK12&type=All#OPERON"" target=""_blank"">eutP,eutD,eutQ,eutT,eutS,eutM</a>"
"HupA-expo-76","2587715","2587750","1.14","acrD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015501&organism=ECK12&type=All#OPERON"" target=""_blank"">acrD</a>"
"HupA-expo-77","2601127","2601138","1.27","hyfA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009812&organism=ECK12&type=All#OPERON"" target=""_blank"">hyfR,hyfH,hyfA,hyfD,hyfJ,hyfB,hyfI,hyfE,hyfF,focB,hyfC,hyfG</a>"
"HupA-expo-78","2629393","2629417","1.72","yfgG","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027335&organism=ECK12&type=All#OPERON"" target=""_blank"">yfgH,yfgG,yfgI</a>,yfgF"
"HupA-expo-79","2631104","2631132","0.95","guaA",""
"HupA-expo-80","2653956","2653980","1.37","yfhM",""
"HupA-expo-81","2700301","2700332","1.18","shoB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120032965&organism=ECK12&type=All#OPERON"" target=""_blank"">shoB</a>"
"HupA-expo-82","2726453","2726494","1.62","kgtP",""
"HupA-expo-83","2727033","2727050","1.96","kgtP",""
"HupA-expo-84","2727766","2727776","2.5","kgtP",""
"HupA-expo-85","2728216","2728247","1.79","kgtP",""
"HupA-expo-86","2728623","2728638","1.99","kgtP",""
"HupA-expo-87","2728921","2728947","2.05","kgtP",""
"HupA-expo-88","2729366","2729389","2.01","kgtP",""
"HupA-expo-89","2729415","2729442","1.58","kgtP",""
"HupA-expo-90","2729853","2729891","2.48","kgtP",""
"HupA-expo-91","2730570","2730594","2.19","kgtP",""
"HupA-expo-92","2731310","2731343","1.79","bamD",""
"HupA-expo-93","2748292","2748341","2.98","ypjD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027366&organism=ECK12&type=All#OPERON"" target=""_blank"">yfjD,ypjD</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027365&organism=ECK12&type=All#OPERON"" target=""_blank"">ffh</a>"
"HupA-expo-94","2750363","2750395","1.12","grpE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027368&organism=ECK12&type=All#OPERON"" target=""_blank"">nadK</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009597&organism=ECK12&type=All#OPERON"" target=""_blank"">grpE</a>"
"HupA-expo-95","2774099","2774124","1.02","yfjW",""
"HupA-expo-96","2774176","2774199","1.16","yfjW",""
"HupA-expo-97","2778007","2778037","1.24","yfjV_1",""
"HupA-expo-98","2783472","2783502","1.18","pinH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027385&organism=ECK12&type=All#OPERON"" target=""_blank"">pinH</a>"
"HupA-expo-99","2805027","2805063","1.02","proV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125300403&organism=ECK12&type=All#OPERON"" target=""_blank"">proX,proW,proV</a>"
"HupA-expo-100","2819372","2819412","0.92","alaS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125300399&organism=ECK12&type=All#OPERON"" target=""_blank"">csrA</a>"
"HupA-expo-101","2859995","2860036","1.26","pphB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027404&organism=ECK12&type=All#OPERON"" target=""_blank"">pphB</a>"
"HupA-expo-102","2877739","2877776","1.04","cysD",""
"HupA-expo-103","2924200","2924242","1.23","yqcC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027420&organism=ECK12&type=All#OPERON"" target=""_blank"">yqcC,yqcA,truC</a>"
"HupA-expo-104","2934196","2934226","1.92","fucP","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009320&organism=ECK12&type=All#OPERON"" target=""_blank"">fucP,fucK,fucU,fucR,fucI</a>"
"HupA-expo-105","2958907","2958936","1.26","ptrA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027428&organism=ECK12&type=All#OPERON"" target=""_blank"">recD,recB,ptrA</a>"
"HupA-expo-106","2963344","2963376","1.14","ppdB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027429&organism=ECK12&type=All#OPERON"" target=""_blank"">ygdB,ppdC,recC,ppdB</a>"
"HupA-expo-107","3054469","3054499","1.12","pepP","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027475&organism=ECK12&type=All#OPERON"" target=""_blank"">ubiI,pepP,ubiH</a>"
"HupA-expo-108","3079124","3079148","1.51","cmtB","yggP,cmtB,cmtA,yggD,yggC,yggF"
"HupA-expo-109","3100715","3100732","1.23","ansB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120011076&organism=ECK12&type=All#OPERON"" target=""_blank"">ansB</a>"
"HupA-expo-110","3138323","3138354","1.15","gss","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021176&organism=ECK12&type=All#OPERON"" target=""_blank"">yghU</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027501&organism=ECK12&type=All#OPERON"" target=""_blank"">gss</a>"
"HupA-expo-111","3192449","3192481","1.04","yqiJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027525&organism=ECK12&type=All#OPERON"" target=""_blank"">yqiK,yqiJ</a>"
"HupA-expo-112","3199209","3199244","1.39","glnE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027528&organism=ECK12&type=All#OPERON"" target=""_blank"">glnE</a>"
"HupA-expo-113","3217110","3217141","0.96","yqjI","yqjI"
"HupA-expo-114","3244801","3244815","1.93","uxaC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009341&organism=ECK12&type=All#OPERON"" target=""_blank"">exuT</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009062&organism=ECK12&type=All#OPERON"" target=""_blank"">uxaC,uxaA</a>"
"HupA-expo-115","3253076","3253105","1.63","yhaI","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027547&organism=ECK12&type=All#OPERON"" target=""_blank"">yhaI</a>"
"HupA-expo-116","3275125","3275145","1.9","garD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009025&organism=ECK12&type=All#OPERON"" target=""_blank"">garD</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009770&organism=ECK12&type=All#OPERON"" target=""_blank"">garR,garK,garP,garL</a>"
"HupA-expo-117","3280693","3280721","1.22","agaW","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009141&organism=ECK12&type=All#OPERON"" target=""_blank"">agaW,agaA</a>"
"HupA-expo-118","3287758","3287782","1.14","yraH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027554&organism=ECK12&type=All#OPERON"" target=""_blank"">yraH,yraI,yraK,yraJ</a>"
"HupA-expo-119","3287846","3287872","1.24","yraH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027554&organism=ECK12&type=All#OPERON"" target=""_blank"">yraH,yraI,yraK,yraJ</a>"
"HupA-expo-120","3315428","3315448","1.18","infB",""
"HupA-expo-121","3321307","3321338","1.35","yhbX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027562&organism=ECK12&type=All#OPERON"" target=""_blank"">yhbX</a>"
"HupA-expo-122","3321390","3321413","1.75","yhbX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027562&organism=ECK12&type=All#OPERON"" target=""_blank"">yhbX</a>"
"HupA-expo-123","3330492","3330521","1.48","greA",""
"HupA-expo-124","3350207","3350235","1.01","elbB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027569&organism=ECK12&type=All#OPERON"" target=""_blank"">mtgA,elbB</a>"
"HupA-expo-125","3373819","3373847","1.16","nanR","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120008953&organism=ECK12&type=All#OPERON"" target=""_blank"">nanE,nanT,nanA,yhcH,nanK</a>"
"HupA-expo-126","3376608","3376638","0.93","sspB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009549&organism=ECK12&type=All#OPERON"" target=""_blank"">sspB</a>"
"HupA-expo-127","3413256","3413280","1.72","acrS","acrS"
"HupA-expo-128","3413326","3413357","1.94","acrS","acrS"
"HupA-expo-129","3413364","3413392","1.62","acrS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009424&organism=ECK12&type=All#OPERON"" target=""_blank"">acrF,acrE</a>,acrS"
"HupA-expo-130","3418574","3418599","1.2","yhdV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120008998&organism=ECK12&type=All#OPERON"" target=""_blank"">yhdY,yhdV,yhdZ,yhdW,yhdW_2,yhdX</a>"
"HupA-expo-131","3423702","3423706","1.33","yrdA",""
"HupA-expo-132","3425355","3425366","2.22","yrdA",""
"HupA-expo-133","3425845","3425873","2.05","yrdA",""
"HupA-expo-134","3426222","3426237","2.34","yrdA",""
"HupA-expo-135","3426397","3426443","2.56","yrdA",""
"HupA-expo-136","3427237","3427239","1.39","yrdA",""
"HupA-expo-137","3427663","3427692","1.83","yrdA",""
"HupA-expo-138","3428062","3428084","2.13","yrdA",""
"HupA-expo-139","3428175","3428199","2.14","yrdA",""
"HupA-expo-140","3428586","3428593","3.1","yrdA",""
"HupA-expo-141","3431786","3431826","0.99","yrdD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015154&organism=ECK12&type=All#OPERON"" target=""_blank"">tsaC,aroE,yrdD,yrdB</a>"
"HupA-expo-142","3453087","3453109","1.07","rpsJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009535&organism=ECK12&type=All#OPERON"" target=""_blank"">rplW,rplB,rpsS,rpsJ,rpmC,rplP,rpsC,rplD,rplC,rpsQ,rplV</a>"
"HupA-expo-143","3455191","3455223","1.02","gspA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030197&organism=ECK12&type=All#OPERON"" target=""_blank"">gspO,gspD,gspC,gspH,gspE,gspF,gspL,gspM,gspG,gspK,gspI,gspJ</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030199&organism=ECK12&type=All#OPERON"" target=""_blank"">gspB,gspA</a>"
"HupA-expo-144","3455606","3455631","1.16","gspC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030197&organism=ECK12&type=All#OPERON"" target=""_blank"">gspO,gspD,gspC,gspH,gspE,gspF,gspL,gspM,gspG,gspK,gspI,gspJ</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030199&organism=ECK12&type=All#OPERON"" target=""_blank"">gspB,gspA</a>"
"HupA-expo-145","3525514","3525521","1.18","yrfF",""
"HupA-expo-146","3537005","3537034","1.28","greB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027609&organism=ECK12&type=All#OPERON"" target=""_blank"">greB,yhgF</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009717&organism=ECK12&type=All#OPERON"" target=""_blank"">envZ,ompR</a>"
"HupA-expo-147","3560219","3560260","1.17","glpR_2","glpR_2"
"HupA-expo-148","3560256","3560278","1.11","glpR_2","glpR_2"
"HupA-expo-149","3579906","3579939","1.32","yhhX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027613&organism=ECK12&type=All#OPERON"" target=""_blank"">yhhW</a>"
"HupA-expo-150","3582284","3582297","1.16","yhhZ","insA,yhhZ,insB1,yrhA"
"HupA-expo-151","3583462","3583487","1.24","insA","insA,insB1,yrhA"
"HupA-expo-152","3584070","3584095","1.31","insB1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026513&organism=ECK12&type=All#OPERON"" target=""_blank"">insB1</a>,yrhA"
"HupA-expo-153","3591673","3591703","1.41","ugpB",""
"HupA-expo-154","3604491","3604526","1.11","rsmD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027619&organism=ECK12&type=All#OPERON"" target=""_blank"">rsmD,yhhL</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009467&organism=ECK12&type=All#OPERON"" target=""_blank"">ftsE,ftsY,ftsX</a>"
"HupA-expo-155","3623648","3623677","1.34","yhhH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027626&organism=ECK12&type=All#OPERON"" target=""_blank"">yhhH,yrhC</a>"
"HupA-expo-156","3634989","3635011","1.35","yhiM","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021017&organism=ECK12&type=All#OPERON"" target=""_blank"">yhiM</a>"
"HupA-expo-157","3648667","3648701","1.48","arsR","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009429&organism=ECK12&type=All#OPERON"" target=""_blank"">arsR,arsC,arsB</a>"
"HupA-expo-158","3649425","3649454","0.93","arsB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009429&organism=ECK12&type=All#OPERON"" target=""_blank"">arsC,arsB</a>"
"HupA-expo-159","3651375","3651402","1.26","yhiS_1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027637&organism=ECK12&type=All#OPERON"" target=""_blank"">yhiS</a>"
"HupA-expo-160","3657396","3657429","1.04","hdeD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120010970&organism=ECK12&type=All#OPERON"" target=""_blank"">hdeD</a>"
"HupA-expo-161","3665186","3665199","1.55","gadX",""
"HupA-expo-162","3667936","3667968","1.83","yhjA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009797&organism=ECK12&type=All#OPERON"" target=""_blank"">gadA,gadW,gadX</a>"
"HupA-expo-163","3684575","3684606","1.18","yhjK",""
"HupA-expo-164","3696515","3696544","1.32","bcsE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027649&organism=ECK12&type=All#OPERON"" target=""_blank"">bcsG,bcsF,bcsE</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030145&organism=ECK12&type=All#OPERON"" target=""_blank"">yhjR</a>"
"HupA-expo-165","3698400","3698426","1.03","bcsG","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027649&organism=ECK12&type=All#OPERON"" target=""_blank"">bcsG</a>"
"HupA-expo-166","3704207","3704241","1.13","dppC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009452&organism=ECK12&type=All#OPERON"" target=""_blank"">dppD,dppF,dppC</a>"
"HupA-expo-167","3704472","3704490","1.27","dppC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009452&organism=ECK12&type=All#OPERON"" target=""_blank"">dppD,dppF,dppC</a>"
"HupA-expo-168","3711301","3711312","1.08","yhjX",""
"HupA-expo-169","3719747","3719774","1.32","yiaG","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015506&organism=ECK12&type=All#OPERON"" target=""_blank"">yiaG,cspA</a>"
