"TF-Condition-#","Start Position","End Position","MACE S/N","Closest gene","Operon"
"HupB-expo-23","344456","344487","1.08","yahL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026609&organism=ECK12&type=All#OPERON"" target=""_blank"">yahL</a>"
"HupB-expo-24","366124","366142","1.59","lacZ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009229&organism=ECK12&type=All#OPERON"" target=""_blank"">lacA,lacY,lacZ</a>"
"HupB-expo-25","392336","392382","1.2","insF1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026597&organism=ECK12&type=All#OPERON"" target=""_blank"">insF1</a>"
"HupB-expo-26","401506","401544","0.96","iraP","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009245&organism=ECK12&type=All#OPERON"" target=""_blank"">iraP,phoA,psiF</a>"
"HupB-expo-27","521671","521692","1.13","ybbP",""
"HupB-expo-28","528046","528073","1.76","rhsH","rhsH"
"HupB-expo-29","569493","569526","1.04","ybcK",""
"HupB-expo-30","582969","582994","1.02","tfaX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026693&organism=ECK12&type=All#OPERON"" target=""_blank"">tfaX</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020501&organism=ECK12&type=All#OPERON"" target=""_blank"">ybcY_2,ybcY</a>"
"HupB-expo-31","612650","612698","1.07","fes","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009460&organism=ECK12&type=All#OPERON"" target=""_blank"">fes,ybdZ,fepE,entF</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009354&organism=ECK12&type=All#OPERON"" target=""_blank"">entD,fepA</a>"
"HupB-expo-32","697038","697072","1.41","miaB",""
"HupB-expo-33","720569","720599","1.14","ybfK","ybfK,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009548&organism=ECK12&type=All#OPERON"" target=""_blank"">potE,speF</a>"
"HupB-expo-34","720620","720657","1.33","ybfK","ybfK,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009548&organism=ECK12&type=All#OPERON"" target=""_blank"">potE,speF</a>"
"HupB-expo-35","729192","729219","1.36","ybfA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026734&organism=ECK12&type=All#OPERON"" target=""_blank"">rhsC,ybfB,ybfA</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009228&organism=ECK12&type=All#OPERON"" target=""_blank"">kdpC,kdpF,kdpA,kdpB</a>"
"HupB-expo-36","729209","729244","1.38","ybfA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026734&organism=ECK12&type=All#OPERON"" target=""_blank"">rhsC,ybfB,ybfA</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009228&organism=ECK12&type=All#OPERON"" target=""_blank"">kdpC,kdpF,kdpA,kdpB</a>"
"HupB-expo-37","777006","777055","1.5","tolA",""
"HupB-expo-38","777193","777214","1.11","tolA",""
"HupB-expo-39","792059","792071","1.07","galE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125300405&organism=ECK12&type=All#OPERON"" target=""_blank"">galE,galK,galT,galM</a>"
"HupB-expo-40","1050145","1050149","1.2","insB1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026513&organism=ECK12&type=All#OPERON"" target=""_blank"">insB1</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026814&organism=ECK12&type=All#OPERON"" target=""_blank"">gfcA</a>"
"HupB-expo-41","1085325","1085350","1.18","phoH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009832&organism=ECK12&type=All#OPERON"" target=""_blank"">phoH</a>"
"HupB-expo-42","1094872","1094887","1.1","insF1","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026597&organism=ECK12&type=All#OPERON"" target=""_blank"">insF1</a>"
"HupB-expo-43","1208714","1208735","1.16","tfaE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026857&organism=ECK12&type=All#OPERON"" target=""_blank"">tfaE</a>"
"HupB-expo-44","1411922","1411952","1.53","ttcA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026928&organism=ECK12&type=All#OPERON"" target=""_blank"">ttcA</a>"
"HupB-expo-45","1413322","1413353","1.04","ydaQ","ydaQ,intR"
"HupB-expo-46","1413375","1413410","1.17","ydaQ","ydaQ,intR"
"HupB-expo-47","1465593","1465611","1.24","ydbA_1","ydbA_1,ynbG"
"HupB-expo-48","1610713","1610727","1.47","uxaB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125134714&organism=ECK12&type=All#OPERON"" target=""_blank"">uxaB</a>"
"HupB-expo-49","1673629","1673649","1.1","mdtJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020476&organism=ECK12&type=All#OPERON"" target=""_blank"">tqsA</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027039&organism=ECK12&type=All#OPERON"" target=""_blank"">mdtI,mdtJ</a>"
"HupB-expo-50","1692660","1692684","1.06","uidC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009067&organism=ECK12&type=All#OPERON"" target=""_blank"">uidC</a>"
"HupB-expo-51","1754964","1754990","1.27","ydhZ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120034535&organism=ECK12&type=All#OPERON"" target=""_blank"">ydhV,ydhY,ydhX,ydhZ,ydhT,ydhW,ydhU</a>"
"HupB-expo-52","1934678","1934684","1.23","edd","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009417&organism=ECK12&type=All#OPERON"" target=""_blank"">edd,eda</a>"
"HupB-expo-53","1986665","1986672","1.17","ftnB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120016700&organism=ECK12&type=All#OPERON"" target=""_blank"">ftnB</a>"
"HupB-expo-54","1991798","1991828","1.35","yecA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027143&organism=ECK12&type=All#OPERON"" target=""_blank"">yecA</a>"
"HupB-expo-55","2023999","2024026","1.01","rcsA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009668&organism=ECK12&type=All#OPERON"" target=""_blank"">rcsA</a>"
"HupB-expo-56","2033780","2033805","1.48","yedS_1","yedS_1,yedS_2,yedR,yedJ"
"HupB-expo-57","2058045","2058062","1.27","yeeL",""
"HupB-expo-58","2151263","2151301","1.16","yegJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021149&organism=ECK12&type=All#OPERON"" target=""_blank"">yegJ</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021148&organism=ECK12&type=All#OPERON"" target=""_blank"">yegI</a>"
"HupB-expo-59","2179192","2179225","1.61","yegT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027199&organism=ECK12&type=All#OPERON"" target=""_blank"">yegV,yegU,yegT</a>"
"HupB-expo-60","2255481","2255498","1.69","yeiL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030133&organism=ECK12&type=All#OPERON"" target=""_blank"">yeiL</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120011120&organism=ECK12&type=All#OPERON"" target=""_blank"">rihB</a>"
"HupB-expo-61","2266075","2266089","1.07","yeiQ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027238&organism=ECK12&type=All#OPERON"" target=""_blank"">yeiQ</a>"
"HupB-expo-62","2466352","2466380","1.06","intS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027289&organism=ECK12&type=All#OPERON"" target=""_blank"">intS</a>"
"HupB-expo-63","2560435","2560448","1.16","yffL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027317&organism=ECK12&type=All#OPERON"" target=""_blank"">yffL</a>"
"HupB-expo-64","2563375","2563406","7.55","yffQ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027320&organism=ECK12&type=All#OPERON"" target=""_blank"">yffR,yffQ</a>"
"HupB-expo-65","2563426","2563475","3.19","yffQ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027320&organism=ECK12&type=All#OPERON"" target=""_blank"">yffR,yffQ</a>"
"HupB-expo-66","2564907","2564955","3.28","yffS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027321&organism=ECK12&type=All#OPERON"" target=""_blank"">yffS</a>"
"HupB-expo-67","2565289","2565336","6.49","yffS",""
"HupB-expo-68","2575628","2575659","1.25","eutS","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027324&organism=ECK12&type=All#OPERON"" target=""_blank"">eutP,eutD,eutQ,eutT,eutS,eutM</a>"
"HupB-expo-69","2587720","2587745","1.16","acrD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015501&organism=ECK12&type=All#OPERON"" target=""_blank"">acrD</a>"
"HupB-expo-70","2601126","2601138","1.23","hyfA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009812&organism=ECK12&type=All#OPERON"" target=""_blank"">hyfR,hyfH,hyfA,hyfD,hyfJ,hyfB,hyfI,hyfE,hyfF,focB,hyfC,hyfG</a>"
"HupB-expo-71","2653961","2653980","1.25","yfhM",""
"HupB-expo-72","2700271","2700295","1.29","shoB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120032965&organism=ECK12&type=All#OPERON"" target=""_blank"">shoB</a>"
"HupB-expo-73","2700309","2700333","1.11","shoB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120032965&organism=ECK12&type=All#OPERON"" target=""_blank"">shoB</a>"
"HupB-expo-74","2726079","2726111","1.51","kgtP","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027359&organism=ECK12&type=All#OPERON"" target=""_blank"">kgtP</a>"
"HupB-expo-75","2728411","2728432","3.3","kgtP",""
"HupB-expo-76","2729362","2729393","2.54","kgtP",""
"HupB-expo-77","2729404","2729426","2.71","kgtP",""
"HupB-expo-78","2729602","2729609","1","kgtP",""
"HupB-expo-79","2748292","2748341","2.02","ypjD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027366&organism=ECK12&type=All#OPERON"" target=""_blank"">yfjD,ypjD</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027365&organism=ECK12&type=All#OPERON"" target=""_blank"">ffh</a>"
"HupB-expo-80","2774112","2774124","1.26","yfjW",""
"HupB-expo-81","2778007","2778037","1.17","yfjV_1",""
"HupB-expo-82","2783472","2783502","1.32","pinH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027385&organism=ECK12&type=All#OPERON"" target=""_blank"">pinH</a>"
"HupB-expo-83","2861068","2861094","1.19","ygbI","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027405&organism=ECK12&type=All#OPERON"" target=""_blank"">ygbK,ygbJ</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021170&organism=ECK12&type=All#OPERON"" target=""_blank"">ygbI</a>"
"HupB-expo-84","2900042","2900073","1.16","ygcW","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027416&organism=ECK12&type=All#OPERON"" target=""_blank"">ygcW</a>"
"HupB-expo-85","2904143","2904164","1.29","yqcG",""
"HupB-expo-86","2924380","2924405","1.06","yqcC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027420&organism=ECK12&type=All#OPERON"" target=""_blank"">yqcC,yqcA,truC</a>"
"HupB-expo-87","2934256","2934293","1.73","fucP","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009320&organism=ECK12&type=All#OPERON"" target=""_blank"">fucP,fucK,fucU,fucR,fucI</a>"
"HupB-expo-88","2988747","2988774","1.05","yqeI","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027444&organism=ECK12&type=All#OPERON"" target=""_blank"">yqeI,yqeJ</a>"
"HupB-expo-89","3005645","3005666","1.31","ygeV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021172&organism=ECK12&type=All#OPERON"" target=""_blank"">ygeV</a>"
"HupB-expo-90","3054469","3054499","1.1","pepP","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027475&organism=ECK12&type=All#OPERON"" target=""_blank"">ubiI,pepP,ubiH</a>"
"HupB-expo-91","3079126","3079154","1.44","cmtB","yggP,cmtB,cmtA,yggD,yggC,yggF"
"HupB-expo-92","3084287","3084330","0.98","speA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009395&organism=ECK12&type=All#OPERON"" target=""_blank"">speA,speB</a>"
"HupB-expo-93","3194038","3194069","1.03","yqiK",""
"HupB-expo-94","3206053","3206083","1.29","ttdR","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009556&organism=ECK12&type=All#OPERON"" target=""_blank"">ttdT,ttdA,ttdB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021180&organism=ECK12&type=All#OPERON"" target=""_blank"">ttdR</a>"
"HupB-expo-95","3244801","3244815","2.14","uxaC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009341&organism=ECK12&type=All#OPERON"" target=""_blank"">exuT</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009062&organism=ECK12&type=All#OPERON"" target=""_blank"">uxaC,uxaA</a>"
"HupB-expo-96","3253098","3253127","1.74","yhaI","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027547&organism=ECK12&type=All#OPERON"" target=""_blank"">yhaI</a>"
"HupB-expo-97","3256663","3256692","1.01","yhaO","yhaM"
"HupB-expo-98","3267201","3267214","1.29","tdcA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027550&organism=ECK12&type=All#OPERON"" target=""_blank"">tdcR</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009317&organism=ECK12&type=All#OPERON"" target=""_blank"">tdcC,tdcG,tdcE,tdcB,tdcF,tdcD,tdcA</a>"
"HupB-expo-99","3275125","3275145","1.88","garD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009025&organism=ECK12&type=All#OPERON"" target=""_blank"">garD</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009770&organism=ECK12&type=All#OPERON"" target=""_blank"">garR,garK,garP,garL</a>"
"HupB-expo-100","3287781","3287821","1.21","yraH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027554&organism=ECK12&type=All#OPERON"" target=""_blank"">yraH,yraI,yraK,yraJ</a>"
"HupB-expo-101","3322361","3322384","1.11","secG","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030155&organism=ECK12&type=All#OPERON"" target=""_blank"">secG</a>"
"HupB-expo-102","3330493","3330520","1.57","greA",""
"HupB-expo-103","3342069","3342102","1.05","kdsD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030121&organism=ECK12&type=All#OPERON"" target=""_blank"">lptC,kdsC,lptA,yhbJ,lptB,kdsD,hpf,ptsN,rpoN,npr</a>"
"HupB-expo-104","3361603","3361649","1.04","gltF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125286577&organism=ECK12&type=All#OPERON"" target=""_blank"">gltF</a>"
"HupB-expo-105","3410358","3410370","1.22","dusB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009214&organism=ECK12&type=All#OPERON"" target=""_blank"">dusB,fis</a>"
"HupB-expo-106","3413217","3413245","1.72","acrS","acrS"
"HupB-expo-107","3418421","3418447","1.15","yhdV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027585&organism=ECK12&type=All#OPERON"" target=""_blank"">yhdV</a>"
"HupB-expo-108","3418548","3418569","1.31","yhdV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120008998&organism=ECK12&type=All#OPERON"" target=""_blank"">yhdY,yhdV,yhdZ,yhdW,yhdW_2,yhdX</a>"
"HupB-expo-109","3420099","3420125","0.98","yhdX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120008998&organism=ECK12&type=All#OPERON"" target=""_blank"">yhdY,yhdZ,yhdX</a>"
"HupB-expo-110","3424933","3424935","2.11","yrdA",""
"HupB-expo-111","3425412","3425454","3.15","yrdA",""
"HupB-expo-112","3425477","3425504","3.52","yrdA",""
"HupB-expo-113","3425831","3425862","2.44","yrdA",""
"HupB-expo-114","3426010","3426026","3.41","yrdA",""
"HupB-expo-115","3426981","3427009","2.06","yrdA",""
"HupB-expo-116","3427502","3427536","3.03","yrdA",""
"HupB-expo-117","3428062","3428090","2.86","yrdA",""
"HupB-expo-118","3441437","3441470","1.18","rpsD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009537&organism=ECK12&type=All#OPERON"" target=""_blank"">rplQ,rpoA,rpsD</a>"
"HupB-expo-119","3443345","3443371","1.03","secY",""
"HupB-expo-120","3484633","3484668","1.02","prkB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027598&organism=ECK12&type=All#OPERON"" target=""_blank"">prkB</a>"
"HupB-expo-121","3511001","3511033","1.02","yhfX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027602&organism=ECK12&type=All#OPERON"" target=""_blank"">php,yhfW,yhfX,yhfU,yhfS,yhfT</a>"
"HupB-expo-122","3512186","3512218","1.22","yhfZ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027603&organism=ECK12&type=All#OPERON"" target=""_blank"">yhfZ,yhfY</a>"
"HupB-expo-123","3520249","3520274","1.04","hofQ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027604&organism=ECK12&type=All#OPERON"" target=""_blank"">hofQ</a>"
"HupB-expo-124","3525514","3525521","1.09","yrfF",""
"HupB-expo-125","3560219","3560232","1.21","glpR_2","glpR_2"
"HupB-expo-126","3561352","3561380","1.11","glpG","glpR_2,glpR_1,glpG"
"HupB-expo-127","3579947","3579979","1.6","yhhX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027613&organism=ECK12&type=All#OPERON"" target=""_blank"">yhhW</a>"
"HupB-expo-128","3582458","3582483","1.59","yhhZ",""
"HupB-expo-129","3582536","3582563","1.12","yhhZ",""
"HupB-expo-130","3582943","3582967","1.05","yhhZ","insA,yhhZ,insB1,yrhA"
"HupB-expo-131","3583136","3583160","1.16","yrhA_1","insA,insB1,yrhA"
"HupB-expo-132","3584504","3584535","1.13","yrhB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027618&organism=ECK12&type=All#OPERON"" target=""_blank"">yrhB</a>"
"HupB-expo-133","3592596","3592625","1.12","ugpB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009108&organism=ECK12&type=All#OPERON"" target=""_blank"">ugpB,ugpQ,ugpA,ugpE,ugpC</a>"
"HupB-expo-134","3598450","3598458","1.06","livK",""
"HupB-expo-135","3620376","3620409","1.07","rhsB",""
"HupB-expo-136","3621497","3621522","1.09","rhsB",""
"HupB-expo-137","3623649","3623678","1.58","yhhH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027626&organism=ECK12&type=All#OPERON"" target=""_blank"">yhhH,yrhC</a>"
"HupB-expo-138","3624032","3624063","1.14","yrhC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027627&organism=ECK12&type=All#OPERON"" target=""_blank"">yhhI,yrhC</a>"
"HupB-expo-139","3634982","3635011","1.33","yhiM","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120021017&organism=ECK12&type=All#OPERON"" target=""_blank"">yhiM</a>"
"HupB-expo-140","3665186","3665199","1.49","gadX",""
"HupB-expo-141","3668680","3668708","1.02","yhjA",""
"HupB-expo-142","3704169","3704194","1.1","dppC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009452&organism=ECK12&type=All#OPERON"" target=""_blank"">dppD,dppF,dppC</a>"
"HupB-expo-143","3705999","3706007","1.39","dppB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009452&organism=ECK12&type=All#OPERON"" target=""_blank"">dppD,dppB,dppF,dppC</a>"
"HupB-expo-144","3708645","3708671","1.05","dppA",""
"HupB-expo-145","3711114","3711139","1.06","yhjX",""
"HupB-expo-146","3711282","3711312","1.05","yhjX",""
"HupB-expo-147","3711661","3711691","1.18","yhjX","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125145763&organism=ECK12&type=All#OPERON"" target=""_blank"">yhjX</a>"
"HupB-expo-148","3721190","3721221","1.08","insJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120015364&organism=ECK12&type=All#OPERON"" target=""_blank"">insK</a>"
"HupB-expo-149","3728784","3728814","1.09","xylB",""
"HupB-expo-150","3736803","3736830","0.93","bax","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027901&organism=ECK12&type=All#OPERON"" target=""_blank"">bax</a>"
"HupB-expo-151","3742609","3742620","2.04","yiaJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009799&organism=ECK12&type=All#OPERON"" target=""_blank"">sgbU,lyxK,yiaN,yiaO,yiaM,yiaL,yiaK,sgbE,sgbH</a>,yiaJ"
"HupB-expo-152","3744736","3744764","1.06","yiaM","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009799&organism=ECK12&type=All#OPERON"" target=""_blank"">sgbU,lyxK,yiaN,yiaO,yiaM,sgbE,sgbH</a>"
"HupB-expo-153","3745218","3745244","1.21","yiaN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009799&organism=ECK12&type=All#OPERON"" target=""_blank"">sgbU,lyxK,yiaN,yiaO,sgbE,sgbH</a>"
"HupB-expo-154","3748542","3748574","1.17","lyxK","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009799&organism=ECK12&type=All#OPERON"" target=""_blank"">sgbU,lyxK,sgbE,sgbH</a>"
"HupB-expo-155","3748556","3748599","1.1","lyxK","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009799&organism=ECK12&type=All#OPERON"" target=""_blank"">sgbU,lyxK,sgbE,sgbH</a>"
"HupB-expo-156","3749133","3749165","1.06","sgbH","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009799&organism=ECK12&type=All#OPERON"" target=""_blank"">sgbU,sgbE,sgbH</a>"
"HupB-expo-157","3754205","3754229","1.35","yiaW","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027663&organism=ECK12&type=All#OPERON"" target=""_blank"">yiaW,yiaV</a>"
"HupB-expo-158","3756876","3756904","1.12","yiaY","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009330&organism=ECK12&type=All#OPERON"" target=""_blank"">aldB</a>"
"HupB-expo-159","3756912","3756940","1.15","yiaY","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009330&organism=ECK12&type=All#OPERON"" target=""_blank"">aldB</a>"
"HupB-expo-160","3757800","3757831","1.02","yiaY","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027664&organism=ECK12&type=All#OPERON"" target=""_blank"">yiaY</a>"
"HupB-expo-161","3763416","3763445","1.14","rhsA",""
"HupB-expo-162","3763544","3763574","1.11","rhsA",""
"HupB-expo-163","3766215","3766253","1.18","rhsA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027666&organism=ECK12&type=All#OPERON"" target=""_blank"">yibA,rhsA</a>"
"HupB-expo-164","3766557","3766575","1.38","yibA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120033763&organism=ECK12&type=All#OPERON"" target=""_blank"">yibA</a>"
"HupB-expo-165","3768920","3768944","1.06","yibW_1","yibW,yibV"
"HupB-expo-166","3769436","3769473","1.59","yibV_1","yibV"
"HupB-expo-167","3769554","3769590","1.14","yibV_1","yibU,yibV"
"HupB-expo-168","3783289","3783323","1.27","gpsA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027672&organism=ECK12&type=All#OPERON"" target=""_blank"">gpsA</a>"
"HupB-expo-169","3783443","3783482","0.97","gpsA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027672&organism=ECK12&type=All#OPERON"" target=""_blank"">gpsA</a>"
"HupB-expo-170","3783843","3783879","1.11","secB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027672&organism=ECK12&type=All#OPERON"" target=""_blank"">gpsA,secB</a>"
"HupB-expo-171","3787644","3787686","0.94","envC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120027675&organism=ECK12&type=All#OPERON"" target=""_blank"">envC,yibQ</a>"
